epoch,train_loss,val_loss,val_ppl
1,23.7577018985961,6.643691271867077,767.9243854591161
2,6.053830172935826,5.345693675264724,209.70330014969912
3,5.072230269917768,4.75957899397629,116.69678550586943
4,4.6518055674755,4.498239738456087,89.85881698417997
5,4.42489401713623,4.328135567928991,75.80282551893505
6,4.267854289716061,4.204209051366784,66.96760877469143
7,4.149277869099578,4.088393697357037,59.644008387639445
8,4.053145374064108,4.005545921340503,54.90178827721796
9,3.9742480529728432,3.9589863817583626,52.40418118541066
10,3.908155260032881,3.917430674186147,50.2711158295169
11,3.8546634481520456,3.8688598335792292,47.88775493229709
12,3.8077878999665766,3.829537054024411,46.04121870278993
13,3.7692087321476424,3.79312396676904,44.39487197764606
14,3.7346700179532557,3.7836992835253644,43.97842987160521
15,3.7049882269038585,3.7543249985703095,42.705383884324156
16,3.679494007480189,3.7243176212872773,41.442943311566566
17,3.656235070587534,3.715772884113918,41.090332880420625
18,3.6363528417388746,3.708030201333973,40.7734119599417
19,3.6172649302003994,3.6800925232416564,39.65006245517488
20,3.599858909069827,3.683906412437605,39.80157213690869
21,3.585600455786659,3.6602276596477115,38.870191038107194
22,3.5721274649786685,3.6511419912729774,38.518628879697495
23,3.557403312850619,3.643851353277969,38.23882471528516
24,3.5467432176756595,3.6332570468967247,37.8358492823271
25,3.53546764637901,3.623286418051736,37.46047653303182
26,3.524056800236046,3.6135572915934517,37.09778601152419
27,3.5135991011631975,3.61318039541646,37.08380663235435
28,3.503266618597463,3.5963397765785063,36.46452158752769
29,3.4933718463966836,3.5911992803305255,36.27755680870181
30,3.484050461461553,3.5743589510248723,35.67174614823883
31,3.474584695021016,3.575022349397677,35.695418577846134
32,3.4648019075393677,3.574704135926989,35.68406162187683
33,3.4547690087756258,3.5504632661583786,34.829449055771214
34,3.4460563395989428,3.5443840412950536,34.618355296425776
35,3.4372528144418086,3.5662579320868244,35.38393600882981
36,3.4295385202953805,3.5453507646887523,34.65183785191944
37,3.420730048949834,3.530031747915687,34.12505099679857
38,3.4128732362201224,3.5278816011767233,34.0517559554656
39,3.405450627484729,3.5190411242295645,33.752048920438305
40,3.3976388701054243,3.5134133376309244,33.562633087720656
